Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Valparaiso,Chile,2021-04-01 4:27,-33.0472,-71.6127,65910,1881,59803,4226,"Valparaiso, Chile",3629.601157,2.85389167
Anhui,China,2021-04-01 4:27,31.8257,117.2264,994,6,988,0,"Anhui, China",1.628782694,0.60362173
Beijing,China,2021-04-01 4:27,40.1824,116.4142,1049,9,1037,3,"Beijing, China",4.791465072,0.857959962
Chongqing,China,2021-04-01 4:27,30.0572,107.874,591,6,585,0,"Chongqing, China",1.843754503,1.015228426
Fujian,China,2021-04-01 4:27,26.0789,117.9874,561,1,550,10,"Fujian, China",1.350502741,0.178253119
Gansu,China,2021-04-01 4:27,35.7518,104.2861,193,2,186,5,"Gansu, China",0.771388104,1.03626943
Guangdong,China,2021-04-01 4:27,23.3417,113.4244,2282,8,2235,39,"Guangdong, China",1.810931312,0.350569676
Guangxi,China,2021-04-01 4:27,23.8298,108.7881,267,2,265,0,"Guangxi, China",0.532649159,0.74906367
Guizhou,China,2021-04-01 4:27,26.8154,106.8748,147,2,145,0,"Guizhou, China",0.381202831,1.360544218
Hainan,China,2021-04-01 4:27,19.1959,109.7453,171,6,165,0,"Hainan, China",1.696221255,3.50877193
Hebei,China,2021-04-01 4:27,37.8957,114.9042,1317,7,1310,0,"Hebei, China",1.765173371,0.53151101
Heilongjiang,China,2021-04-01 4:27,47.862,127.7615,1610,13,1597,0,"Heilongjiang, China",5.054931088,0.807453416
Henan,China,2021-04-01 4:27,33.882,113.614,1311,22,1283,6,"Henan, China",1.319371159,1.678108314
Hong Kong,China,2021-04-01 4:27,22.3,114.2,11467,205,11095,167,"Hong Kong, China",152.95476,1.787738729
Hubei,China,2021-04-01 4:27,30.9756,112.2707,68152,4512,63639,1,"Hubei, China",118.0068962,6.620495363
Hunan,China,2021-04-01 4:27,27.6104,111.7088,1042,4,1033,5,"Hunan, China",1.568217522,0.383877159
Inner Mongolia,China,2021-04-01 4:27,44.0935,113.9448,375,1,368,6,"Inner Mongolia, China",1.559306346,0.266666667
Jiangsu,China,2021-04-01 4:27,32.9711,119.455,710,0,704,6,"Jiangsu, China",0.837777724,0
Jiangxi,China,2021-04-01 4:27,27.614,115.7221,937,1,934,2,"Jiangxi, China",2.073530214,0.106723586
Jilin,China,2021-04-01 4:27,43.6661,126.1923,573,3,570,0,"Jilin, China",2.380215252,0.523560209
Liaoning,China,2021-04-01 4:27,41.2956,122.6085,407,2,405,0,"Liaoning, China",0.955591817,0.491400491
Macau,China,2021-04-01 4:27,22.1667,113.55,48,0,48,0,"Macau, China",7.392098463,0
Ningxia,China,2021-04-01 4:27,37.2692,106.1655,75,0,75,0,"Ningxia, China",1.041282838,0
Qinghai,China,2021-04-01 4:27,35.7452,95.9956,18,0,18,0,"Qinghai, China",0.303850956,0
Shaanxi,China,2021-04-01 4:27,35.1917,108.8701,567,3,553,11,"Shaanxi, China",1.434389978,0.529100529
Shandong,China,2021-04-01 4:27,36.3427,118.1498,870,7,862,1,"Shandong, China",0.856911086,0.804597701
Shanghai,China,2021-04-01 4:27,31.202,121.4491,1885,7,1833,45,"Shanghai, China",7.579140196,0.371352785
Shanxi,China,2021-04-01 4:27,37.5777,112.2922,241,0,240,1,"Shanxi, China",0.690235567,0
Sichuan,China,2021-04-01 4:27,30.6171,102.7103,948,3,927,18,"Sichuan, China",1.132956699,0.316455696
Tianjin,China,2021-04-01 4:27,39.3054,117.323,373,3,358,12,"Tianjin, China",2.690031429,0.804289544
Tibet,China,2021-04-01 4:27,31.6927,88.0924,1,0,1,0,"Tibet, China",0.027411529,0
Unknown,China,2021-04-01 4:27,,,0,0,1,0,"Unknown, China",,
Xinjiang,China,2021-04-01 4:27,41.1129,85.2401,980,3,977,0,"Xinjiang, China",3.790758633,0.306122449
Yunnan,China,2021-04-01 4:27,24.974,101.487,247,2,230,15,"Yunnan, China",0.523202251,0.809716599
Zhejiang,China,2021-04-01 4:27,29.1832,120.0934,1323,1,1320,2,"Zhejiang, China",2.049015676,0.07558579
Amazonas,Colombia,2021-04-01 4:27,-1.4429,-71.5724,5858,219,5595,44,"Amazonas, Colombia",7648.617948,3.738477296
Antioquia,Colombia,2021-04-01 4:27,7.1986,-75.3412,374623,7016,354364,13243,"Antioquia, Colombia",5846.996037,1.872816138
Arauca,Colombia,2021-04-01 4:27,7.0762,-70.7105,5751,173,5450,128,"Arauca, Colombia",2193.581362,3.008172492
Atlantico,Colombia,2021-04-01 4:27,10.6966,-74.8741,151635,4494,137149,9992,"Atlantico, Colombia",5980.437126,2.963695717
Bolivar,Colombia,2021-04-01 4:27,8.6704,-74.03,69563,1409,67543,611,"Bolivar, Colombia",3360.352831,2.025502063
Boyaca,Colombia,2021-04-01 4:27,5.4545,-73.362,48119,1154,46147,818,"Boyaca, Colombia",3952.681834,2.398221077
Caldas,Colombia,2021-04-01 4:27,5.2983,-75.2479,49624,1015,47206,1403,"Caldas, Colombia",4971.074525,2.045381267
