,country,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
136,Paraguay,214667,4206,175614.0,3009.689409,1.959313728
137,Peru,1548807,143416,1468457.0,4406.41398784,8.01222437326923
138,Philippines,747288,13297,603746.0,681.9498091,1.779367526
139,Poland,2321717,53045,1861925.0,6134.544961,2.284731516
140,Portugal,821722,16848,778210.0,8058.699735,2.050328457
141,Qatar,179964,291,164121.0,6246.450959,0.161699006
142,Romania,952803,23538,850672.0,4952.795248,2.470395244
143,Russia,4494234,97219,4118709.0,3158.6505836240963,1.9867410624578312
144,Rwanda,21783,307,20182.0,168.1798062,1.40935592
145,Saint Kitts and Nevis,44,0,43.0,82.7192059,0.0
146,Saint Lucia,4238,60,4142.0,2307.914327,1.415762152
147,Saint Vincent and the Grenadines,1748,10,1587.0,1575.527053,0.57208238
148,Samoa,3,0,2.0,1.529597716,0.0
149,San Marino,4732,84,4128.0,13943.07266,1.775147929
150,Sao Tome and Principe,2223,34,2092.0,1014.322804,1.529464687
151,Saudi Arabia,390007,6669,378083.0,1120.263371,1.709969308
152,Senegal,38705,1051,37321.0,231.1583959,2.715411446
153,Serbia,600596,5308,0.0,6873.876235,0.88378877
154,Seychelles,4114,20,3745.0,4183.44519,0.486144871
155,Sierra Leone,3980,79,2812.0,49.89353747,1.984924623
156,Singapore,60381,30,60149.0,1032.093332,0.049684503
157,Slovakia,707876,9719,255300.0,12965.60966,1.372980579
158,Slovenia,215602,4047,198524.0,10370.80578,1.877069786
159,Solomon Islands,19,0,18.0,2.910280643,0.0
160,Somalia,11398,529,4819.0,71.71611994,4.641165117
161,South Africa,1548157,52846,1474319.0,2610.337541,3.41347809
162,South Korea,103639,1735,95439.0,202.146775,1.674080221
163,South Sudan,10165,109,9668.0,90.80977394,1.072306936
164,Spain,3284353,75459,150376.0,6870.6484905789475,2.246071693105263
165,Sri Lanka,92706,568,89251.0,432.9375503,0.612689578
166,Sudan,31833,2063,24214.0,72.59642116,6.480696133
167,Summer Olympics 2020,0,0,0.0,,
168,Suriname,9122,177,8598.0,1554.972947,1.940363955
169,Sweden,804886,13465,0.0,7165.659162428571,1.6209781805238097
170,Switzerland,601124,10297,317600.0,6945.702283,1.712957726
171,Syria,18909,1265,12731.0,108.0473722,6.689936009
172,Taiwan*,1030,10,981.0,4.324682918,0.970873786
173,Tajikistan,13714,91,13218.0,143.7881606,0.663555491
174,Tanzania,509,21,183.0,0.852107987,4.125736739
175,Thailand,28863,94,26873.0,41.3510159,0.325676472
176,Timor-Leste,604,0,189.0,45.81164738,0.0
177,Togo,10249,109,7815.0,123.7990771,1.063518392
178,Tonga,0,0,0.0,0.0,
179,Trinidad and Tobago,8026,142,7615.0,573.4942204,1.769249938
180,Tunisia,254018,8812,217293.0,2149.303751,3.469045501
181,Turkey,3317182,31537,3014226.0,3933.149984,0.950716602
182,Uganda,40867,335,40449.0,89.34435189,0.819732302
